GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
1400000US36047025500,36047025500,"Census Tract 255, Kings County, New York",5120,439,2184,433,2774,352,1610,339,1164,237,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,8,13,8,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16,154,239,112,173,42,66,0,16,0,16,0,16,0,16,0,16,0,16
1400000US36047025600,36047025600,"Census Tract 256, Kings County, New York",2922,348,476,181,119,123,35,43,84,117,0,11,0,11,0,11,0,11,0,11,0,11,42,36,15,24,27,32,309,125,150,85,159,81,0,11,0,11,0,11,1885,359,614,181,1271,297,0,11,0,11,0,11,0,11,0,11,0,11,9,15,0,11,9,15,82,127,56,88,26,39,0,11,0,11,0,11
1400000US36047025700,36047025700,"Census Tract 257, Kings County, New York",2335,293,1133,294,944,224,656,195,288,102,74,70,58,69,16,21,32,36,27,34,5,8,12,14,12,14,0,11,96,62,46,27,50,45,0,11,0,11,0,11,6,9,6,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,38,35,38,35,0,11,0,11,0,11,0,11
1400000US36047025800,36047025800,"Census Tract 258, Kings County, New York",3729,414,523,147,520,227,257,116,263,183,0,11,0,11,0,11,0,11,0,11,0,11,540,172,178,78,362,122,572,252,283,132,289,153,52,86,12,21,40,65,1276,375,241,90,1035,361,53,87,0,11,53,87,0,11,0,11,0,11,60,69,60,69,0,11,97,123,73,97,24,28,36,36,20,25,16,25
1400000US36047025901,36047025901,"Census Tract 259.01, Kings County, New York",1828,199,1058,217,672,217,358,179,314,133,15,18,14,18,1,4,42,39,34,35,8,13,4,8,0,11,4,8,6,9,5,8,1,5,0,11,0,11,0,11,0,11,0,11,0,11,5,9,5,9,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,26,31,18,20,8,11
1400000US36047025902,36047025902,"Census Tract 259.02, Kings County, New York",3403,427,2070,537,1221,307,747,202,474,183,17,30,17,30,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,59,85,0,11,59,85,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,36,68,0,11,36,68
1400000US36047026000,36047026000,"Census Tract 260, Kings County, New York",3288,300,675,180,165,98,118,73,47,39,11,16,0,11,11,16,0,11,0,11,0,11,159,97,81,78,78,58,641,245,350,164,291,124,0,11,0,11,0,11,1597,379,444,149,1153,305,0,11,0,11,0,11,0,11,0,11,0,11,8,14,8,14,0,11,0,11,0,11,0,11,32,52,0,11,32,52
1400000US36047026100,36047026100,"Census Tract 261, Kings County, New York",4460,581,3561,603,736,296,521,221,215,184,65,77,65,77,0,11,0,11,0,11,0,11,55,64,55,64,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,26,44,26,44,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,28,17,28,0,11
1400000US36047026200,36047026200,"Census Tract 262, Kings County, New York",2280,216,767,142,303,142,135,85,168,72,0,11,0,11,0,11,4,6,4,6,0,11,63,43,29,19,34,31,189,105,48,33,141,103,0,11,0,11,0,11,806,175,345,101,461,110,88,66,13,13,75,59,4,6,4,6,0,11,11,13,5,7,6,11,24,37,0,11,24,37,21,31,21,31,0,11
1400000US36047026300,36047026300,"Census Tract 263, Kings County, New York",1710,218,1330,204,191,85,90,49,101,54,108,68,108,68,0,11,0,11,0,11,0,11,13,13,13,13,0,11,19,27,10,14,9,13,0,11,0,11,0,11,16,16,16,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,11,7,11,0,11,0,11,0,11,0,11,26,34,10,16,16,20
1400000US36047026400,36047026400,"Census Tract 264, Kings County, New York",4483,470,1255,315,679,266,184,76,495,227,0,11,0,11,0,11,17,26,17,26,0,11,352,133,114,97,238,114,465,265,215,114,250,204,0,11,0,11,0,11,1491,362,331,158,1160,305,0,11,0,11,0,11,0,11,0,11,0,11,34,37,0,11,34,37,173,175,80,80,93,101,17,29,0,11,17,29
