,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
4548834,360610168002002,360810626002004,1,1,0,0,0,1,0,0,0,1,20170919,40.680603000000005,-73.7456387,"Queens County, NY",40.7898095,-73.9533247,"New York County, NY","LINESTRING(-73.7456387 40.680603000000005, -73.9533247 40.7898095)"
3576668,360610076001001,360470730002004,1,1,0,0,1,0,0,0,1,0,20170919,40.6245529,-73.93187459999999,"Kings County, NY",40.7487635,-73.98637120000001,"New York County, NY","LINESTRING(-73.93187459999999 40.6245529, -73.98637120000001 40.7487635)"
5433482,360810179001016,360471104001006,1,0,1,0,0,0,1,1,0,0,20170919,40.6564836,-73.8928608,"Kings County, NY",40.7452284,-73.9282501,"Queens County, NY","LINESTRING(-73.8928608 40.6564836, -73.9282501 40.7452284)"
6555298,361031457011004,361031462052005,1,0,0,1,1,0,0,0,0,1,20170919,40.751251,-73.2209002,"Suffolk County, NY",40.82465,-73.2183118,"Suffolk County, NY","LINESTRING(-73.2209002 40.751251, -73.2183118 40.82465)"
5378558,360810071004006,360810081001004,1,0,1,0,1,0,0,0,0,1,20170919,40.771221999999995,-73.9329115,"Queens County, NY",40.767019299999994,-73.92079820000001,"Queens County, NY","LINESTRING(-73.9329115 40.771221999999995, -73.92079820000001 40.767019299999994)"
1509539,360470052011004,360470882004000,1,0,1,0,0,0,1,0,0,1,20170919,40.6580609,-73.9226645,"Kings County, NY",40.6211559,-74.0391703,"Kings County, NY","LINESTRING(-73.9226645 40.6580609, -74.0391703 40.6211559)"
2732087,360594118006023,361031592031018,1,0,1,0,0,0,1,1,0,0,20170919,40.7566696,-72.98463459999999,"Suffolk County, NY",40.6558814,-73.6745703,"Nassau County, NY","LINESTRING(-72.98463459999999 40.7566696, -73.6745703 40.6558814)"
5662877,360810713042001,360470800003000,1,0,1,0,0,0,1,0,0,1,20170919,40.660382299999995,-73.95205370000001,"Kings County, NY",40.7289991,-73.85150300000001,"Queens County, NY","LINESTRING(-73.95205370000001 40.660382299999995, -73.85150300000001 40.7289991)"
5494049,360810267003001,360811367001005,1,1,0,0,0,1,0,0,1,0,20170919,40.7452631,-73.7598526,"Queens County, NY",40.7464914,-73.88989709999998,"Queens County, NY","LINESTRING(-73.7598526 40.7452631, -73.88989709999998 40.7464914)"
6717089,361031582024001,361031112011008,1,1,0,0,1,0,0,0,0,1,20170919,40.8481903,-73.4053902,"Suffolk County, NY",40.9223425,-73.0538933,"Suffolk County, NY","LINESTRING(-73.4053902 40.8481903, -73.0538933 40.9223425)"
3053434,360610013001000,361031473004013,1,0,0,1,0,0,1,0,0,1,20170919,40.7303131,-73.2493195,"Suffolk County, NY",40.7116289,-74.01237440000001,"New York County, NY","LINESTRING(-73.2493195 40.7303131, -74.01237440000001 40.7116289)"
3295645,360610040005001,360610235011005,1,0,0,1,0,1,0,0,0,1,20170919,40.827850500000004,-73.943105,"New York County, NY",40.729580299999995,-73.985411,"New York County, NY","LINESTRING(-73.943105 40.827850500000004, -73.985411 40.729580299999995)"
1889461,360470644002004,360810623001001,1,0,1,0,0,1,0,0,0,1,20170919,40.7059037,-73.8783717,"Queens County, NY",40.61183629999999,-73.9431505,"Kings County, NY","LINESTRING(-73.8783717 40.7059037, -73.9431505 40.61183629999999)"
3074527,360610013002008,360610287001013,1,0,0,1,0,0,1,0,0,1,20170919,40.86712120000001,-73.9302089,"New York County, NY",40.7054444,-74.0141785,"New York County, NY","LINESTRING(-73.9302089 40.86712120000001, -74.0141785 40.7054444)"
6511820,361031352052009,361031349061004,1,0,1,0,0,0,1,0,0,1,20170919,40.8780698,-73.2358447,"Suffolk County, NY",40.8171773,-73.2918876,"Suffolk County, NY","LINESTRING(-73.2358447 40.8780698, -73.2918876 40.8171773)"
3159893,360610029003002,360470258003002,1,0,0,1,1,0,0,0,0,1,20170919,40.6140675,-73.990206,"Kings County, NY",40.7150886,-73.9978695,"New York County, NY","LINESTRING(-73.990206 40.6140675, -73.9978695 40.7150886)"
5542001,360810357002000,360050369012000,1,0,0,1,0,0,1,0,1,0,20170919,40.8453117,-73.8929946,"Bronx County, NY",40.7705679,-73.8705529,"Queens County, NY","LINESTRING(-73.8929946 40.8453117, -73.8705529 40.7705679)"
1827024,360470538003004,360610273003002,1,1,0,0,1,0,0,0,0,1,20170919,40.8516311,-73.9385242,"New York County, NY",40.617855600000006,-73.95859499999999,"Kings County, NY","LINESTRING(-73.9385242 40.8516311, -73.95859499999999 40.617855600000006)"
5369586,360810057001005,360470182001002,1,1,0,0,0,0,1,0,0,1,20170919,40.6136507,-74.00182579999999,"Kings County, NY",40.7564664,-73.9226817,"Queens County, NY","LINESTRING(-74.00182579999999 40.6136507, -73.9226817 40.7564664)"
5471430,360810232002002,360470138003000,1,0,1,0,0,1,0,0,0,1,20170919,40.623219,-74.02669470000001,"Kings County, NY",40.7080349,-73.8127425,"Queens County, NY","LINESTRING(-74.02669470000001 40.623219, -73.8127425 40.7080349)"
3140584,360610021001010,361031120012020,1,0,0,1,0,0,1,0,0,1,20170919,40.8270032,-73.3974444,"Suffolk County, NY",40.712726,-74.0106184,"New York County, NY","LINESTRING(-73.3974444 40.8270032, -74.0106184 40.712726)"
2770724,360594138043000,360470362002000,1,1,0,0,0,1,0,0,1,0,20170919,40.5782941,-73.9631885,"Kings County, NY",40.640403799999994,-73.5994222,"Nassau County, NY","LINESTRING(-73.9631885 40.5782941, -73.5994222 40.640403799999994)"
308902,360050166001000,360610059003001,1,0,0,1,0,1,0,0,0,1,20170919,40.730980100000004,-73.9947999,"New York County, NY",40.8317535,-73.82776590000002,"Bronx County, NY","LINESTRING(-73.9947999 40.730980100000004, -73.82776590000002 40.8317535)"
5499384,360810283002000,360594121003001,1,0,1,0,0,0,1,0,0,1,20170919,40.645340999999995,-73.6616142,"Nassau County, NY",40.7528083,-73.884395,"Queens County, NY","LINESTRING(-73.6616142 40.645340999999995, -73.884395 40.7528083)"
